software	scope_of_work	description	location
Bismark_WGBS	methylation	Analysis of raw methylation data from short reads sequencing	git@github.com:mmarchetti90/Bismark_WGBS.git
long_reads_methylation	methylation	Analysis of raw methylation data from long reads sequencing	git@github.com:mmarchetti90/long_reads_methylation.git
merge_met_cov.py	methylation	Merge methylation counts data	Local
methylation_analysis_islands.R	methylation	Differential analysis of methylation data	Local
methylation_analysis_tss.R	methylation	Differential analysis of methylation data	Local
methylation_reanalysis.R	methylation	Differential analysis of methylation data	Local
annotate_affy_counts.py	microarray	Gene expression analysis via microarray	Local
annotate_affy_results.py	microarray	Gene expression analysis via microarray	Local
run_affy.R	microarray	Gene expression analysis via microarray	Local
extract_gene_promoter_sequences.py	motif enrichment	Extraction of gene promoter regions	Local
run_homer_fasta.sh	motif enrichment	Motif enrichment with HOMER	Local
run_homer_genes.sh	motif enrichment	Motif enrichment with HOMER	Local
run_meme_fimo.sh	motif enrichment	Motif enrichment with MEME	Local
run_meme_sea.sh	motif enrichment	Motif enrichment with MEME	Local
summarize_fimo.py	motif enrichment	Motif enrichment with MEME	Local
RNASeq_Analysis	rna	Analysis of raw RNA sequencing data	git@github.com:mmarchetti90/RNASeq_Analysis.git
annotate_counts_matrix.py	rna	Annotation of rna gene expression count matrix	Local
annotate_dea.py	rna	Annotation of rna differential expression data	Local
check_strandness.py	rna	RNA sequencing quality control	Local
dea_utest.py	rna	Differential analysis of gene expression data	Local
dexseq_sleuth_integration.R	rna	Integration of exon usage and gene isoforms data	Local
gdc_deseq2_get_rlog_counts.R	rna	Merge RNA gene expression counts data	Local
gdc_merge_counts.py	rna	Merge RNA gene expression counts data	Local
gdc_merge_tpms.py	rna	Merge RNA gene expression counts data	Local
gene_signature.py	rna	Gene set expression signature calculation from rna data	Local
merge_counts_v1.sh	rna	Merge RNA gene expression counts data	Local
merge_counts_v2.sh	rna	Merge RNA gene expression counts data	Local
merge_counts_v3.sh	rna	Merge RNA gene expression counts data	Local
music_deconvolution.R	rna	Deconvolution of bulk rna gene expression data	Local
plot_mrna_isoforms.py	rna	Visualization of splicing isoforms from Isoseq	Local
rna_qc.py	rna	RNA sequencing quality control	Local
run_deseq2.R	rna	Differential analysis of gene expression data	Local
run_dexseq.R	rna	Differential analysis of exon usage data	Local
run_sleuth.R	rna	Differential analysis of gene isoforms data	Local
IsoseqAnalysis	rna; splicing	Analysis of splicing isoforms from PACB data	git@github.com:mmarchetti90/IsoseqAnalysis.git
splice_check	rna; splicing	Analysis of gene splicing	git@github.com:mmarchetti90/splice_check.git
gene_splicing_analysis.py	rna; splicing	Analysis of gene splicing	Local
TXT-Encryption	secrecy	Encryption of text files	git@github.com:mmarchetti90/TXT-Encryption.git
scRNA-Seq-analysis	single-cell	Analysis of raw RNA single-cell sequencing data	git@github.com:mmarchetti90/scRNA-Seq-analysis.git
download_gsea_hallmark_genes.py	term enrichment	Over-representation analysis datasets download	Local
download_reactome_genes.py	term enrichment	Over-representation analysis datasets download	Local
enrichment_analysis_1.py	term enrichment	Over-representation analysis	Local
enrichment_analysis_2.py	term enrichment	Over-representation analysis	Local
prep_for_revigo.py	term enrichment	Over-representation analysis	Local
prep_go_annotations.py	term enrichment	Over-representation analysis datasets download	Local
preranked_gsea.R	term enrichment	Gene Set Enrichment Analysis	Local
simplify_terms_stringent.py	term enrichment	Over-representation analysis	Local
nextflow_variant_calling	variant calling	Variant calling on raw data from DNA sequencing	git@github.com:mmarchetti90/nextflow_variant_calling.git
filter_vcf.py	variant calling	Filters a vcf file	Local
reformat_vcf.py	variant calling	Reformats a vcf file	Local
summarize_vcf.py	variant calling	Summarizes a vcf file	Local
